paso,etapa,columna,accion,justificacion,registros_afectados
1,Limpieza,SKU_ID,drop_duplicates (exactos + por ID),El SKU es la clave primaria del maestro; un duplicado infla el stock y distorsiona el valor de inventario.,0
2,Limpieza,SKU_ID,strip + upper,Debe coincidir exactamente con el SKU_ID normalizado de transacciones; de lo contrario el merge genera falsos SKU fantasma.,0
3,Limpieza,Categoria,map() de variantes a nombre canónico,"'smart-phone' y 'Smartphones' son la misma categoría con distinta captura; sin unificar, el análisis por categoría (Pregunta 4) se fragmenta artificialmente.",3
4,Limpieza,Categoria,'???' -> NaN -> moda ('Laptops'),La moda es el criterio recomendado para variables categóricas: preserva la distribución de clases sin inventar una etiqueta arbitraria para un valor corrupto.,305
5,Limpieza,Bodega_Origen,map() de capitalización a nombre canónico,"'norte' y 'Norte' son la misma bodega; los códigos externos (ZONA_FRANCA, BOD-EXT-99) se preservan como categorías propias.",1
6,Limpieza,Stock_Actual,Negativos y nulos -> mediana por Categoría,Una existencia negativa desafía la lógica contable; se trata como dato faltante y se imputa con la mediana de su categoría por ser robusta ante los propios outliers de stock.,160
7,Limpieza,Costo_Unitario_USD,clip() por IQR dentro de cada Categoría,"El reto documenta costos desde $0.01 hasta $850k. La winsorización (Guía Senior Toolkit) acota el valor extremo sin sacrificar la muestra completa, y se hace por categoría porque un monitor y un accesorio tienen escalas de precio muy distintas.",1
8,Limpieza,Lead_Time_Dias,Parseo de texto mixto -> numérico,'Inmediato' se traduce a 0 días y los rangos ('25-30 días') al promedio del rango; se conserva el texto original para auditoría.,2097
9,Limpieza,Lead_Time_Dias,Nulos -> mediana por Categoría,El 16 % de nulos no puede eliminarse sin perder una quinta parte del maestro; la mediana por categoría respeta que el lead time es propio del tipo de producto.,403
10,Feature Eng.,Ultima_Revision -> Antiguedad_Revision_Dias,Días desde la revisión hasta 31/01/2026,Insumo directo de la Pregunta 5: bodegas con revisiones antiguas 'operan a ciegas' sobre su propio stock.,0
11,Feature Eng.,Valor_Inventario,Stock_Actual x Costo_Unitario_USD,Cuantifica el capital atado a cada SKU; base para priorizar revisiones y detectar sobre-stock costoso.,2500
12,Feature Eng.,Ratio_Stock_Reorden / Alta_Disponibilidad,Stock_Actual / Punto_Reorden (umbral 2x),"Insumo directo de la Pregunta 4: categorías con alta disponibilidad pero feedback negativo señalan sobre-stock, no escasez.",2062
13,Feature Eng.,Registro_Confiable,Consolidación de banderas de imputación,Permite filtrar entre datos observados e imputados: sin esto el análisis de inventario no es auditable.,757
